date,temperatureMin,temperatureMax,humidity,dewPoint,windSpeed,temperatureMean
2018/04/09,67.6,89.38,0.63,62.28,7.68,70.5929
2018/04/10,66.03,89.22,0.6,61.0,5.99,70.5929
2018/04/11,70.51,91.33,0.6,61.74,6.14,70.5929
2018/04/12,71.23,92.07,0.6,63.26,5.93,70.5929
2018/04/13,71.24,91.32,0.6,63.01,6.83,70.5929
2018/04/14,71.44,93.94,0.62,65.51,6.67,70.5929
2018/04/15,72.23,92.44,0.62,65.89,6.61,70.5929
2018/04/16,73.73,93.1,0.64,67.52,5.46,70.5929
2018/04/17,73.0,93.99,0.59,63.91,5.24,70.5929
2018/04/18,71.04,95.65,0.54,62.95,4.29,70.5929
2018/04/19,74.07,93.85,0.56,64.34,5.39,70.5929
2018/04/20,70.98,93.58,0.61,64.09,7.11,70.5929
2018/04/21,71.43,94.6,0.55,63.62,5.13,70.5929
2018/04/22,73.21,93.63,0.67,68.03,6.72,70.5929
2018/04/23,70.45,93.34,0.58,63.49,5.74,70.5929
2018/04/24,73.0,89.22,0.66,66.26,5.96,70.5929
2018/04/25,71.44,92.34,0.65,66.11,5.56,70.5929
2018/04/26,70.2,92.59,0.7,68.12,6.29,70.5929
2018/04/27,69.4,93.83,0.61,63.97,4.49,70.5929
2018/04/28,71.41,92.19,0.6,63.36,5.46,70.5929
2018/04/29,69.63,93.85,0.62,65.81,4.33,70.5929
2018/04/30,72.31,97.1,0.66,66.68,7.43,70.5929
2018/05/01,71.76,91.75,0.69,68.54,7.46,70.5929
2018/05/02,73.79,90.34,0.72,69.19,7.1,70.5929
2018/05/03,68.03,91.69,0.72,68.77,6.42,70.5929
2018/05/04,67.59,88.61,0.72,67.21,5.26,70.5929
2018/05/05,71.43,89.48,0.64,66.19,4.69,70.5929
2018/05/06,71.43,90.38,0.66,67.03,4.52,70.5929
2018/05/07,73.2,92.08,0.67,68.12,6.16,70.5929
2018/05/08,74.08,91.31,0.72,69.6,6.79,70.5929
2018/05/09,70.43,88.28,0.68,67.57,6.76,70.5929
2018/05/10,68.32,90.99,0.7,68.03,6.8,70.5929
2018/05/11,69.25,90.28,0.79,68.83,5.9,70.5929
2018/05/12,69.05,90.26,0.71,67.71,4.31,70.5929
2018/05/13,70.93,89.59,0.77,68.52,5.75,70.5929
2018/05/14,69.57,86.87,0.77,68.17,5.2,70.5929
2018/05/15,70.7,90.1,0.7,66.74,5.29,70.5929
2018/05/16,69.63,88.61,0.7,67.39,4.73,70.5929
2018/05/17,71.21,90.43,0.63,65.64,4.11,70.5929
2018/05/18,69.36,87.59,0.79,69.59,6.64,70.5929
2018/05/19,69.46,91.02,0.71,68.15,5.79,70.5929
2018/05/20,69.41,90.53,0.73,67.66,8.15,70.5929
2018/05/21,69.51,86.78,0.8,68.83,6.29,70.5929
2018/05/22,69.39,89.5,0.72,68.09,4.73,70.5929
2018/05/23,71.37,89.24,0.8,69.86,6.45,70.5929
2018/05/24,67.69,89.49,0.69,66.92,6.14,70.5929
2018/05/25,70.25,86.68,0.83,71.28,6.56,70.5929
2018/05/26,69.46,86.92,0.87,71.68,4.47,70.5929
2018/05/27,72.84,88.68,0.81,72.47,6.11,70.5929
2018/05/28,72.16,90.41,0.74,70.64,5.53,70.5929
2018/05/29,71.14,86.78,0.71,68.65,11.3,70.5929
2018/05/30,69.38,86.02,0.83,71.4,10.15,70.5929
2018/05/31,69.42,87.56,0.84,72.58,7.87,70.5929
2018/06/01,70.86,89.49,0.84,72.51,7.01,70.5929
2018/06/02,69.32,84.75,0.88,70.8,6.61,70.5929
2018/06/03,67.83,85.18,0.86,70.44,8.0,70.5929
2018/06/04,69.32,84.14,0.86,70.77,8.13,70.5929
2018/06/05,71.2,86.1,0.81,70.79,9.33,70.5929
2018/06/06,72.16,86.88,0.79,71.05,11.2,70.5929
2018/06/07,71.29,83.31,0.83,70.49,13.79,70.5929
2018/06/08,71.3,81.21,0.88,70.84,16.09,70.5929
2018/06/09,70.01,77.71,0.9,70.23,15.74,70.5929
2018/06/10,69.46,79.54,0.93,71.53,14.41,70.5929
2018/06/11,71.27,81.35,0.87,71.41,14.84,70.5929
2018/06/12,71.27,83.97,0.81,70.0,15.31,70.5929
2018/06/13,70.19,83.27,0.8,69.67,14.64,70.5929
2018/06/14,69.46,82.34,0.83,69.54,11.84,70.5929
2018/06/15,69.39,88.53,0.79,68.38,10.63,70.5929
2018/06/16,69.47,87.63,0.8,68.78,11.29,70.5929
2018/06/17,69.39,85.06,0.8,68.84,12.55,70.5929
2018/06/18,69.47,84.84,0.77,67.64,12.95,70.5929
2018/06/19,69.47,83.96,0.78,67.67,15.39,70.5929
2018/06/20,70.36,85.04,0.77,68.38,15.23,70.5929
2018/06/21,71.2,83.13,0.84,69.75,13.23,70.5929
2018/06/22,68.44,81.3,0.83,68.31,12.38,70.5929
